Bos_taurus
Capreolus_capreolus
Felis_silvestris
Lepus_europaeus
Rupicapra_pyrenaica
Sus_scrofa
Vulpes_vulpes
Meles_meles
Cervus_elaphus
Sciurus_vulgaris
Ursus_arctos
Homo_sapiens
Dama_dama
Canis_familiaris
Equus_ferus
Canis_lupus
Vehicle
Martes_sp
Genetta_genetta
Oryctolagus_cuniculus
